Symbol,Ma ISIN,Ma FIGI,Ten DN Niem Yet,KL dang ky NY,KLLH,Date,Sector
VIX,VN000000VIX5,BBG000Q3LMW7,Công ty Cổ phần Chứng khoán VIX,"669.444.725,00","669.444.725,00",23/12/2020,
VJC,VN000000VJC7,BBG00FPBTP52,Công ty Cổ phần Hàng không VietJet,"541.611.334,00","541.611.334,00",6/2/17,
VMD,VN000000VMD9,BBG0014VX2F7,Công ty Cổ phần Y Dược phẩm Vimedimex,"15.440.268,00","15.440.268,00",17/08/2010,
VND,VN000000VND7,BBG000QK2110,Công ty Cổ phần Chứng khoán VNDIRECT,"1.217.844.009,00","1.217.844.009,00",10/8/17,
VNE,VN000000VNE5,BBG000RTSN50,Tổng Công ty Cổ phần Xây dựng Điện Việt Nam,"90.432.953,00","81.934.033,00",1/8/07,
VNG,VN000000VNG0,BBG000Q08635,Công ty Cổ phần Du lịch Thành Thành Công,"97.276.608,00","97.276.608,00",30/11/2009,
VNL,VN000000VNL0,BBG000NX0H67,Công ty Cổ phần Logistics Vinalink,"9.427.000,00","14.140.487,00",10/8/09,
VNM,VN000000VNM8,BBG000BF6NK4,Công ty Cổ phần Sữa Việt Nam,"2.089.955.445,00","2.089.955.445,00",28/12/2005,
VNS,VN000000VNS5,BBG000HG0KH2,Công ty Cổ phần Ánh Dương Việt Nam,"67.859.192,00","67.859.192,00",23/07/2008,
VOS,VN000000VOS3,BBG0015NLBK1,Công ty Cổ phần Vận tải Biển Việt Nam,"140.000.000,00","140.000.000,00",30/08/2010,
VPB,VN000000VPB6,BBG00GT7TTC9,Ngân hàng TMCP Việt Nam Thịnh Vượng,"6.743.423.601,00","6.713.204.001,00",8/8/17,
VPD,VN000000VPD2,BBG00CMXYXQ8,Công ty Cổ phần Phát triển Điện lực Việt Nam,"106.589.629,00","106.589.629,00",25/12/2017,
VPG,VN000000VPG5,BBG00HK82J35,Công ty Cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,"84.207.071,00","84.207.071,00",27/12/2017,
VPH,VN000000VPH3,BBG000P65NG5,Công ty Cổ phần Vạn Phát Hưng,"95.357.800,00","95.357.800,00",31/08/2009,
VPI,VN000000VPI1,BBG00JC6HXV6,Công ty Cổ phần Đầu tư Văn Phú - Invest,"241.999.617,00","241.999.617,00",31/05/2018,
VPS,VN000000VPS0,BBG009RT5X54,Công ty Cổ phần Thuốc sát trùng Việt Nam,"24.460.792,00","24.460.792,00",4/8/15,
VRC,VN000000VRC0,BBG000PYVR12,Công ty Cổ phần Bất động sản và Đầu tư VRC,"50.000.000,00","50.000.000,00",19/07/2010,
